Tabla Variable u
  Vivienda    Material    Variante    Trabajador    Maquina       Días
         1           1           1            26          3   0
         1           1           1            27          1   0
         1           1           1            27          2   0
         1           1           1            27          3   0
         1           1           1            28          1   0
         1           1           1            28          2   0
         1           1           1            28          3   0
         1           1           1            29          1   0
         1           1           1            29          2   0
         1           1           1            29          3   0
         1           1           1            30          1   0
         1           1           1            30          2   0
         1           1           1            30          3   0
         1           1           2             1          1   0
         1           1           2             1          2   0
         1           1           2             1          3   0
         1           1           2             2          1   0
         1           1           2             2          2   0
         1           1           2             2          3   0
         1           1           2             3          1   0
         1           1           2             3          2   0
         1           1           2             3          3   0
         1           1           2             4          1   0
         1           1           2             4          2   0
         1           1           2             4          3   0
         1           1           2             5          1   0
         1           1           2             5          2   0
         1           1           2             5          3   0
         1           1           2             6          1   0
         1           1           2             6          2   0
         1           1           2             6          3   0
         1           1           2             7          1   0
         1           1           2             7          2   0
         1           1           2             7          3   0
         1           1           2             8          1   0
         1           1           2             8          2   0
         1           1           2             8          3   0
         1           1           2             9          1   0
         1           1           2             9          2   0
         1           1           2             9          3   0
         1           1           2            10          1   0
         1           1           2            10          2   0
         1           1           2            10          3   0
         1           1           2            11          1   0
         1           1           2            11          2   0
         1           1           2            11          3   0
         1           1           2            12          1   0
         1           1           2            12          2   0
         1           1           2            12          3   0
         1           1           2            13          1   0
         1           1           2            13          2   0
         1           1           2            13          3   0
         1           1           2            14          1   0
         1           1           2            14          2   0
         1           1           2            14          3   0
         1           1           2            15          1   0
         1           1           2            15          2   0
         1           1           2            15          3   0
         1           1           2            16          1   0
         1           1           2            16          2   0
         1           1           2            16          3   0
         1           1           2            17          1   0
         1           1           2            17          2   0
         1           1           2            17          3   0
         1           1           2            18          1   0
         1           1           2            18          2   0
         1           1           2            18          3   0
         1           1           2            19          1   0
         1           1           2            19          2   0
         1           1           2            19          3   0
         1           1           2            20          1   0
         1           1           2            20          2   0
         1           1           2            20          3   0
         1           1           2            21          1   0
         1           1           2            21          2   0
         1           1           2            21          3   0
         1           1           2            22          1   0
         1           1           2            22          2   0
         1           1           2            22          3   0
         1           1           2            23          1   0
         1           1           2            23          2   0
         1           1           2            23          3   0
         1           1           2            24          1   0
         1           1           2            24          2   0
         1           1           2            24          3   0
         1           1           2            25          1   0
         1           1           2            25          2   0
         1           1           2            25          3   0
         1           1           2            26          1   0
         1           1           2            26          2   0
         1           1           2            26          3   0
         1           1           2            27          1   0
         1           1           2            27          2   0
         1           1           2            27          3   0
         1           1           2            28          1   0
         1           1           2            28          2   0
         1           1           2            28          3   0
         1           1           2            29          1   0
         1           1           2            29          2   0
         1           1           2            29          3   0
         1           1           2            30          1   0
         1           1           2            30          2   0
         1           1           2            30          3   0
         1           1           3             1          1   0
         1           1           3             1          2   0
         1           1           3             1          3   0
         1           1           3             2          1   0
         1           1           3             2          2   0
         1           1           3             2          3   0
         1           1           3             3          1   0
         1           1           3             3          2   0
         1           1           3             3          3   0
         1           1           3             4          1   0
         1           1           3             4          2   0
         1           1           3             4          3   0
         1           1           3             5          1   0
         1           1           3             5          2   0
         1           1           3             5          3   0
         1           1           3             6          1   0
         1           1           3             6          2   0
         1           1           3             6          3   0
         1           1           3             7          1   0
         1           1           3             7          2   0
         1           1           3             7          3   0
         1           1           3             8          1   0
         1           1           3             8          2   0
         1           1           3             8          3   0
         1           1           3             9          1   0
         1           1           3             9          2   0
         1           1           3             9          3   0
         1           1           3            10          1   0
         1           1           3            10          2   0
         1           1           3            10          3   0
         1           1           3            11          1   0
         1           1           3            11          2   0
         1           1           3            11          3   0
         1           1           3            12          1   0
         1           1           3            12          2   0
         1           1           3            12          3   0
         1           1           3            13          1   0
         1           1           3            13          2   0
         1           1           3            13          3   0
         1           1           3            14          1   0
         1           1           3            14          2   0
         1           1           3            14          3   0
         1           1           3            15          1   0
         1           1           3            15          2   0
         1           1           3            15          3   0
         1           1           3            16          1   0
         1           1           3            16          2   0
         1           1           3            16          3   0
         1           1           3            17          1   0
         1           1           3            17          2   0
         1           1           3            17          3   0
         1           1           3            18          1   0
         1           1           3            18          2   0
         1           1           3            18          3   0
         1           1           3            19          1   0
         1           1           3            19          2   0
         1           1           3            19          3   0
         1           1           3            20          1   0
         1           1           3            20          2   0
         1           1           3            20          3   0
         1           1           3            21          1   0
         1           1           3            21          2   0
         1           1           3            21          3   0
         1           1           3            22          1   0
         1           1           3            22          2   0
         1           1           3            22          3   0
         1           1           3            23          1   0
         1           1           3            23          2   0
         1           1           3            23          3   0
         1           1           3            24          1   0
         1           1           3            24          2   0
         1           1           3            24          3   0
         1           1           3            25          1   0
         1           1           3            25          2   0
         1           1           3            25          3   0
         1           1           3            26          1   0
         1           1           3            26          2   0
         1           1           3            26          3   0
         1           1           3            27          1   0
         1           1           3            27          2   0
         1           1           3            27          3   0
         1           1           3            28          1   0
         1           1           3            28          2   0
         1           1           3            28          3   0
         1           1           3            29          1   0
         1           1           3            29          2   0
         1           1           3            29          3   0
         1           1           3            30          1   0
         1           1           3            30          2   0
         1           1           3            30          3   0
         1           1           4             1          1   0
         1           1           4             1          2   0
         1           1           4             1          3   0
         1           1           4             2          1   0
         1           1           4             2          2   0
         1           1           4             2          3   0
         1           1           4             3          1   0
         1           1           4             3          2   0
         1           1           4             3          3   0
         1           1           4             4          1   0
         1           1           4             4          2   0
         1           1           4             4          3   0
         1           1           4             5          1   0
         1           1           4             5          2   0
         1           1           4             5          3   0
         1           1           4             6          1   0
         1           1           4             6          2   0
         1           1           4             6          3   0
         1           1           4             7          1   0
         1           1           4             7          2   0
         1           1           4             7          3   0
         1           1           4             8          1   0
         1           1           4             8          2   0
         1           1           4             8          3   0
         1           1           4             9          1   0
         1           1           4             9          2   0
         1           1           4             9          3   0
         1           1           4            10          1   0
         1           1           4            10          2   0
         1           1           4            10          3   0
         1           1           4            11          1   0
         1           1           4            11          2   0
         1           1           4            11          3   0
         1           1           4            12          1   0
         1           1           4            12          2   0
         1           1           4            12          3   0
         1           1           4            13          1   0
         1           1           4            13          2   0
         1           1           4            13          3   0
         1           1           4            14          1   0
         1           1           4            14          2   0
         1           1           4            14          3   0
         1           1           4            15          1   0
         1           1           4            15          2   0
         1           1           4            15          3   0
         1           1           4            16          1   0
         1           1           4            16          2   0
         1           1           4            16          3   0
         1           1           4            17          1   0
         1           1           4            17          2   0
         1           1           4            17          3   0
         1           1           4            18          1   0
         1           1           4            18          2   0
         1           1           4            18          3   0
         1           1           4            19          1   0
         1           1           4            19          2   0
         1           1           4            19          3   0
         1           1           4            20          1   0
         1           1           4            20          2   0
         1           1           4            20          3   0
         1           1           4            21          1   0
         1           1           4            21          2   0
         1           1           4            21          3   0
         1           1           4            22          1   0
         1           1           4            22          2   0
         1           1           4            22          3   0
         1           1           4            23          1   0
         1           1           4            23          2   0
         1           1           4            23          3   0
         1           1           4            24          1   0
         1           1           4            24          2   0
         1           1           4            24          3   0
         1           1           4            25          1   0
         1           1           4            25          2   0
         1           1           4            25          3   0
         1           1           4            26          1   0
         1           1           4            26          2   0
         1           1           4            26          3   0
         1           1           4            27          1   0
         1           1           4            27          2   0
         1           1           4            27          3   0
         1           1           4            28          1   0
         1           1           4            28          2   0
         1           1           4            28          3   0
         1           1           4            29          1   0
         1           1           4            29          2   0
         1           1           4            29          3   0
         1           1           4            30          1   0
         1           1           4            30          2   0
         1           1           4            30          3   0
         1           1           5             1          1   0
         1           1           5             1          2   0
         1           1           5             1          3   0
         1           1           5             2          1   0
         1           1           5             2          2   0
         1           1           5             2          3  17.7304
         1           1           5             3          1   0
         1           1           5             3          2   0
         1           1           5             3          3   0
         1           1           5             4          1   0
         1           1           5             4          2   0
         1           1           5             4          3   0
         1           1           5             5          1   0
         1           1           5             5          2   0
         1           1           5             5          3   0
         1           1           5             6          1   0
         1           1           5             6          2   0
         1           1           5             6          3   0
         1           1           5             7          1   0
         1           1           5             7          2   0
         1           1           5             7          3   0
         1           1           5             8          1   0
         1           1           5             8          2   0
         1           1           5             8          3   0
         1           1           5             9          1   0
         1           1           5             9          2   0
         1           1           5             9          3   0
         1           1           5            10          1   0
         1           1           5            10          2   0
         1           1           5            10          3   0
         1           1           5            11          1   0
         1           1           5            11          2   0
         1           1           5            11          3   0
         1           1           5            12          1   0
         1           1           5            12          2   0
         1           1           5            12          3   0
         1           1           5            13          1   0
         1           1           5            13          2   0
         1           1           5            13          3   0
         1           1           5            14          1   0
         1           1           5            14          2   0
         1           1           5            14          3   0
         1           1           5            15          1   0
         1           1           5            15          2   0
         1           1           5            15          3   0
         1           1           5            16          1   0
         1           1           5            16          2   0
         1           1           5            16          3   0
         1           1           5            17          1   0
         1           1           5            17          2   0
         1           1           5            17          3   0
         1           1           5            18          1   0
         1           1           5            18          2   0
         1           1           5            18          3   0
         1           1           5            19          1   0
         1           1           5            19          2   0
         1           1           5            19          3   0
         1           1           5            20          1   0
         1           1           5            20          2   0
         1           1           5            20          3   0
         1           1           5            21          1   0
         1           1           5            21          2   0
         1           1           5            21          3   0
         1           1           5            22          1   0
         1           1           5            22          2   0
         1           1           5            22          3   0
         1           1           5            23          1   0
         1           1           5            23          2   0
         1           1           5            23          3   0
         1           1           5            24          1   0
         1           1           5            24          2   0
         1           1           5            24          3   0
         1           1           5            25          1   0
         1           1           5            25          2   0
         1           1           5            25          3   0
         1           1           5            26          1   0
         1           1           5            26          2   0
         1           1           5            26          3   0
         1           1           5            27          1   0
         1           1           5            27          2   0
         1           1           5            27          3   0
         1           1           5            28          1   0
         1           1           5            28          2   0
         1           1           5            28          3   0
         1           1           5            29          1   0
         1           1           5            29          2   0
         1           1           5            29          3   0
         1           1           5            30          1   0
         1           1           5            30          2   0
         1           1           5            30          3   0
         1           1           6             1          1   0
         1           1           6             1          2   0
         1           1           6             1          3   0
         1           1           6             2          1   0
         1           1           6             2          2   0
