p_id,sueldo
1,  27078
2,  27620
3,  28172
4,  27078
5,  28735
6,  29310
7,  31655
8,  27078
9,  27620
10, 28735
11, 29310
12, 28172
13, 27078
14, 27620
15, 29788
16, 30991
17, 31611
18, 29788
19, 30384
20, 31611
21, 25995
22, 27586
23, 26515
24, 27586
25, 29788
26, 30991
27, 30991
28, 27620
29, 27078
30, 28171
