El proyecto tiene un costo de 156018891.3719821 $CLP
Tabla R2
  Vivienda    Material-Variante    Cantidad Utilizada
----------  -------------------  --------------------
         2           5             2         1.25                   1.25
         2           5             3         1.22                   1.22
         2           5             4         1.22                   1.22
         2           5             5         1.19                   1.19
         2           5             6         1.21                   1.21
         2           5            21         1.13                   1.13
         2           5            22         1.17                   1.17
         2           5            23         1.12                   1.12
         2           5            24         1.14                   1.14
         2           5            25         1.19                   1.19
         2           5            26         1.16                   1.16
         2           5            27         1.13                   1.13
         2           5            28         1.11                   1.11
         2           5            29         1.09                   1.09
         2           5            30         1.08                   1.08
         2           6             1         1.34                   1.34
         2           6             2         1.39                   1.39
         2           6             3         1.43                   1.43
         2           6             4         1.43                   1.43
         2           6             5         1.45                   1.45
         2           6             6         1.41                   1.41
         2           6            21         1.2                    1.2
         2           6            22         1.15                   1.15
         2           6            23         1.14                   1.14
         2           6            24         1.11                   1.11
         2           6            25         1.1                    1.1
         2           6            26         1.05                   1.05
         2           6            27         1.1                    1.1
         2           6            28         1.15                   1.15
         2           6            29         1.13                   1.13
         2           6            30         1.15                   1.15
         2           7             1         1.42                   1.42
         2           7             2         1.41                   1.41
         2           7             3         1.36                   1.36
         2           7             4         1.35                   1.35
         2           7             5         1.38                   1.38
         2           7             6         1.38                   1.38
         2           7            21         1.18                   1.18
         2           7            22         1.15                   1.15
         2           7            23         1.19                   1.19
         2           7            24         1.2                    1.2
         2           7            25         1.19                   1.19
         2           7            26         1.21                   1.21
         2           7            27         1.16                   1.16
         2           7            28         1.11                   1.11
         2           7            29         1.08                   1.08
         2           7            30         1.08                   1.08
         3           3             1         0.86                   0.86
         3           3             2         0.89                   0.89
         3           3             3         0.86                   0.86
         3           3             4         0.91                   0.91
         3           3             5         0.88                   0.88
         3           3             6         0.93                   0.93
         3           3            21         0.71                   0.71
         3           3            22         0.69                   0.69
         3           3            23         0.0570423              0.65
         3           3            24         0                      0.64
         3           3            25         0                      0.68
         3           3            26         0                      0.73
         3           3            27         0.76                   0.76
         3           3            28         0.74                   0.74
         3           3            29         0.7                    0.7
         3           3            30         0                      0.68
         3           4             1         0.85                   0.85
         3           4             2         0.82                   0.82
         3           4             3         0.84                   0.84
         3           4             4         0.87                   0.87
         3           4             5         0.88                   0.88
         3           4             6         0.88                   0.88
         3           4            21         0.77                   0.77
         3           4            22         0.79                   0.79
         3           4            23         0.83                   0.83
         3           4            24         0.85                   0.85
         3           4            25         0.82                   0.82
         3           4            26         0.8                    0.8
         3           4            27         0.76                   0.76
         3           4            28         0.72                   0.72
         3           4            29         0.72                   0.72
         3           4            30         0.68                   0.68
         3           5             1         0.91                   0.91
         3           5             2         0.94                   0.94
         3           5             3         0.93                   0.93
         3           5             4         0.9                    0.9
         3           5             5         0.86                   0.86
         3           5             6         0.81                   0.81
         3           5            21         0.86                   0.86
         3           5            22         0.86                   0.86
         3           5            23         0.91                   0.91
         3           5            24         0.96                   0.96
         3           5            25         0.91                   0.91
         3           5            26         0.9                    0.9
         3           5            27         0.94                   0.94
         3           5            28         0.99                   0.99
         3           5            29         1                      1
         3           5            30         0.96                   0.96
         3           6             1         0.9                    0.9
         3           6             2         0.91                   0.91
         3           6             3         0.95                   0.95
         3           6             4         0.92                   0.92
         3           6             5         0.96                   0.96
         3           6             6         0.98                   0.98
         3           6            21         0.91                   0.91
         3           6            22         0.94                   0.94
         3           6            23         0.98                   0.98
         3           6            24         0.95                   0.95
         3           6            25         1                      1
         3           6            26         0.95                   0.95
         3           6            27         0.97                   0.97
         3           6            28         0.99                   0.99
         3           6            29         0.98                   0.98
         3           6            30         0.97                   0.97
         3           7             1         0.94                   0.94
         3           7             2         0.98                   0.98
         3           7             3         0.93                   0.93
         3           7             4         0.9                    0.9
         3           7             5         0.87                   0.87
         3           7             6         0.86                   0.86
         3           7            21         0.9                    0.9
         3           7            22         0.91                   0.91
         3           7            23         0.93                   0.93
         3           7            24         0.92                   0.92
         3           7            25         0.97                   0.97
         3           7            26         0.93                   0.93
         3           7            27         0.91                   0.91
         3           7            28         0.93                   0.93
         3           7            29         0.98                   0.98
         3           7            30         0.93                   0.93
         4           2             1         0.042                  0.042
         4           2             2         0.043                  0.043
         4           2             3         0.039                  0.039
         4           2             4         0.037                  0.037
         4           2             5         0.039                  0.039
         4           2             6         0.04                   0.04
         4           2            21         0.034                  0.034
         4           2            22         0.038                  0.038
         4           2            23         0.042                  0.042
         4           2            24         0.043                  0.043
         4           2            25         0.045                  0.045
         4           2            26         0.043                  0.043
         4           2            27         0.047                  0.047
         4           2            28         0.044                  0.044
         4           2            29         0.042                  0.042
         4           2            30         0.043                  0.043
         4           3             1         0.04                   0.04
         4           3             2         0.043                  0.043
         4           3             3         0.043                  0.043
         4           3             4         0.04                   0.04
         4           3             5         0.038                  0.038
         4           3             6         0.041                  0.041
         4           3            21         0.042                  0.042
         4           3            22         0.04                   0.04
