Variable,Valor
"z_fikp[1,1,3,14]",0.0
"z_fikp[1,1,3,15]",0.0
"z_fikp[1,1,3,16]",0.0
"z_fikp[1,1,3,17]",0.0
"z_fikp[1,1,3,18]",0.0
"z_fikp[1,1,3,19]",0.0
"z_fikp[1,1,3,20]",0.0
"z_fikp[1,1,3,21]",0.0
"z_fikp[1,1,3,22]",0.0
"z_fikp[1,1,3,23]",0.0
"z_fikp[1,1,3,24]",0.0
"z_fikp[1,1,3,25]",0.18998216955095865
"z_fikp[1,1,3,26]",0.8040041050221173
"z_fikp[1,1,3,27]",2.5
"z_fikp[1,1,3,28]",2.5
"z_fikp[1,1,3,29]",0.5906510658345318
"z_fikp[1,1,3,30]",0.0
"z_fikp[1,1,4,1]",0.0
"z_fikp[1,1,4,2]",0.0
"z_fikp[1,1,4,3]",0.0
"z_fikp[1,1,4,4]",0.0
"z_fikp[1,1,4,5]",0.0
"z_fikp[1,1,4,6]",0.0
"z_fikp[1,1,4,7]",0.0
"z_fikp[1,1,4,8]",0.0
"z_fikp[1,1,4,9]",0.0
"z_fikp[1,1,4,10]",0.0
"z_fikp[1,1,4,11]",0.0
"z_fikp[1,1,4,12]",0.0
"z_fikp[1,1,4,13]",0.0
"z_fikp[1,1,4,14]",0.0
"z_fikp[1,1,4,15]",0.0
"z_fikp[1,1,4,16]",0.0
"z_fikp[1,1,4,17]",0.0
"z_fikp[1,1,4,18]",0.0
"z_fikp[1,1,4,19]",0.0
"z_fikp[1,1,4,20]",0.0
"z_fikp[1,1,4,21]",0.0
"z_fikp[1,1,4,22]",0.0
"z_fikp[1,1,4,23]",0.0
"z_fikp[1,1,4,24]",0.0
"z_fikp[1,1,4,25]",0.0
"z_fikp[1,1,4,26]",0.0
"z_fikp[1,1,4,27]",0.0
"z_fikp[1,1,4,28]",0.0
"z_fikp[1,1,4,29]",0.0
"z_fikp[1,1,4,30]",0.0
"z_fikp[1,1,5,1]",0.0
"z_fikp[1,1,5,2]",0.0
"z_fikp[1,1,5,3]",0.0
"z_fikp[1,1,5,4]",0.0
"z_fikp[1,1,5,5]",0.0
"z_fikp[1,1,5,6]",0.0
"z_fikp[1,1,5,7]",0.0
"z_fikp[1,1,5,8]",0.0
"z_fikp[1,1,5,9]",0.0
"z_fikp[1,1,5,10]",0.0
"z_fikp[1,1,5,11]",0.0
"z_fikp[1,1,5,12]",0.0
"z_fikp[1,1,5,13]",0.0
"z_fikp[1,1,5,14]",0.0
"z_fikp[1,1,5,15]",0.0
"z_fikp[1,1,5,16]",0.0
"z_fikp[1,1,5,17]",0.0
"z_fikp[1,1,5,18]",0.0
"z_fikp[1,1,5,19]",0.0
"z_fikp[1,1,5,20]",0.0
"z_fikp[1,1,5,21]",0.0
"z_fikp[1,1,5,22]",0.0
"z_fikp[1,1,5,23]",0.0
"z_fikp[1,1,5,24]",0.0
"z_fikp[1,1,5,25]",0.0
"z_fikp[1,1,5,26]",0.0
"z_fikp[1,1,5,27]",0.0
